suite_id,baseline_name,model_name,seed,track,topology,task_id,pass_fail,score_total,partial_score,sim_calls,unsupported_value,invalid_bom,failure_tags,candidate_path,result_path,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,evidence_level
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,boundary_acdc_15v1a_tight_margin,False,62.83,0.6283,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/boundary_acdc_15v1a_tight_margin.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/boundary_acdc_15v1a_tight_margin.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,boundary_acdc_24v1a_high_eff,False,61.44,0.6144,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/boundary_acdc_24v1a_high_eff.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/boundary_acdc_24v1a_high_eff.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,boundary_dcdc_12v3a_narrow_duty,False,61.25,0.6125,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/boundary_dcdc_12v3a_narrow_duty.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/boundary_dcdc_12v3a_narrow_duty.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,boundary_dcdc_28v0p9a_low_stress,False,62.08,0.6208,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/boundary_dcdc_28v0p9a_low_stress.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/boundary_dcdc_28v0p9a_low_stress.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_acdc_12v1a,False,77.68,0.7768,1.0,True,False,Simulation Execution Failure;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_acdc_12v1a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_acdc_12v1a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_acdc_18v0p6a,False,77.39,0.7739,1.0,True,False,Simulation Execution Failure;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_acdc_18v0p6a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_acdc_18v0p6a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_acdc_5v1a,False,86.36,0.8636,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_acdc_5v1a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_acdc_5v1a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_acdc_9v0p7a,False,87.71,0.8771,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_acdc_9v0p7a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_acdc_9v0p7a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_dcdc_12v0p5a,False,90.72,0.9072,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_dcdc_12v0p5a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_dcdc_12v0p5a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_dcdc_15v0p8a,False,92.92,0.9292,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_dcdc_15v0p8a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_dcdc_15v0p8a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_dcdc_24v0p5a,False,88.94,0.8894,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_dcdc_24v0p5a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_dcdc_24v0p5a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,easy_dcdc_5v2a,False,96.42,0.9642,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/easy_dcdc_5v2a.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/easy_dcdc_5v2a.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,hard_acdc_12v2p2a_lowripple,False,65.5,0.655,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/hard_acdc_12v2p2a_lowripple.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/hard_acdc_12v2p2a_lowripple.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,hard_acdc_19v1p5a_compact,False,56.97,0.5697,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/hard_acdc_19v1p5a_compact.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/hard_acdc_19v1p5a_compact.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,hard_acdc_24v1p2a_eff89,False,59.08,0.5908,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/hard_acdc_24v1p2a_eff89.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/hard_acdc_24v1p2a_eff89.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,hard_dcdc_12v2p5a_lowripple,False,65.09,0.6509,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/hard_dcdc_12v2p5a_lowripple.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/hard_dcdc_12v2p5a_lowripple.json,False,False,False,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,hard_dcdc_24v1p8a_eff89,False,62.39,0.6239,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/candidates/hard_dcdc_24v1p8a_eff89.json,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks/task_results/hard_dcdc_24v1p8a_eff89.json,False,False,False,frozen_actual_api_run_records
