job_label,baseline_name,model_name,seed,variant,task_count,successes,vtsr,mean_score,is_complete_78task_job,evidence_level
direct_prompting__o3-mini__seed1__full,direct_prompting,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed2__full,direct_prompting,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed3__full,direct_prompting,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
generic_two_role_mas__o3-mini__seed1__full,generic_two_role_mas,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
generic_two_role_mas__o3-mini__seed2__full,generic_two_role_mas,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
generic_two_role_mas__o3-mini__seed3__full,generic_two_role_mas,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
pe_gpt_style__o3-mini__seed1__full,pe_gpt_style,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
pe_gpt_style__o3-mini__seed2__full,pe_gpt_style,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
pe_gpt_style__o3-mini__seed3__full,pe_gpt_style,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
reference_agent__o3-mini__seed1__full,reference_agent,o3-mini,1,full,78,51,0.653846,92.477436,True,paper_main_raw_api_evidence
reference_agent__o3-mini__seed2__full,reference_agent,o3-mini,2,full,78,54,0.692308,92.522949,True,paper_main_raw_api_evidence
reference_agent__o3-mini__seed3__full,reference_agent,o3-mini,3,full,78,54,0.692308,92.519487,True,paper_main_raw_api_evidence
single_agent_retry__o3-mini__seed1__full,single_agent_retry,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
single_agent_retry__o3-mini__seed2__full,single_agent_retry,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
single_agent_retry__o3-mini__seed3__full,single_agent_retry,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
single_agent_same_tools__o3-mini__seed1__full,single_agent_same_tools,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
single_agent_same_tools__o3-mini__seed2__full,single_agent_same_tools,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
single_agent_same_tools__o3-mini__seed3__full,single_agent_same_tools,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
structured_output_only__o3-mini__seed1__full,structured_output_only,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
structured_output_only__o3-mini__seed2__full,structured_output_only,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
structured_output_only__o3-mini__seed3__full,structured_output_only,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
text_only_self_refine__o3-mini__seed1__full,text_only_self_refine,o3-mini,1,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
text_only_self_refine__o3-mini__seed2__full,text_only_self_refine,o3-mini,2,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
text_only_self_refine__o3-mini__seed3__full,text_only_self_refine,o3-mini,3,full,78,0,0.0,0.0,True,paper_main_raw_api_evidence
