suite_id,baseline_name,model_name,seed,track,topology,task_id,pass_fail,score_total,partial_score,sim_calls,unsupported_value,invalid_bom,failure_tags,candidate_path,result_path,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,evidence_level
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,boundary_acdc_15v1a_tight_margin,False,67.24,0.6724,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/boundary_acdc_15v1a_tight_margin.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/boundary_acdc_15v1a_tight_margin.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,boundary_acdc_24v1a_high_eff,False,68.05,0.6805,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/boundary_acdc_24v1a_high_eff.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/boundary_acdc_24v1a_high_eff.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,boundary_dcdc_12v3a_narrow_duty,False,82.08,0.8208,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/boundary_dcdc_12v3a_narrow_duty.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/boundary_dcdc_12v3a_narrow_duty.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,boundary_dcdc_28v0p9a_low_stress,False,67.28,0.6728,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/boundary_dcdc_28v0p9a_low_stress.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/boundary_dcdc_28v0p9a_low_stress.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_acdc_12v1a,False,90.11,0.9011,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_acdc_12v1a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_acdc_12v1a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_acdc_18v0p6a,False,89.26,0.8926,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_acdc_18v0p6a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_acdc_18v0p6a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_acdc_5v1a,False,89.26,0.8926,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_acdc_5v1a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_acdc_5v1a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_acdc_9v0p7a,False,90.23,0.9023,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_acdc_9v0p7a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_acdc_9v0p7a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_dcdc_12v0p5a,False,96.82,0.9682,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_dcdc_12v0p5a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_dcdc_12v0p5a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_dcdc_15v0p8a,False,96.65,0.9665,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_dcdc_15v0p8a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_dcdc_15v0p8a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_dcdc_24v0p5a,False,97.19,0.9719,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_dcdc_24v0p5a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_dcdc_24v0p5a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,easy_dcdc_5v2a,True,100.0,1.0,1.0,False,False,,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/easy_dcdc_5v2a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/easy_dcdc_5v2a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,hard_acdc_12v2p2a_lowripple,False,40.6,0.406,1.0,True,True,Invalid or Unsafe BOM;Simulation Execution Failure;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/hard_acdc_12v2p2a_lowripple.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/hard_acdc_12v2p2a_lowripple.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,hard_acdc_19v1p5a_compact,False,81.34,0.8134,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/hard_acdc_19v1p5a_compact.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/hard_acdc_19v1p5a_compact.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,hard_acdc_24v1p2a_eff89,False,79.78,0.7978,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/hard_acdc_24v1p2a_eff89.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/hard_acdc_24v1p2a_eff89.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,hard_dcdc_12v2p5a_lowripple,False,88.75,0.8875,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/hard_dcdc_12v2p5a_lowripple.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/hard_dcdc_12v2p5a_lowripple.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,hard_dcdc_24v1p8a_eff89,False,84.78,0.8478,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/hard_dcdc_24v1p8a_eff89.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/hard_dcdc_24v1p8a_eff89.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,hard_dcdc_48v0p8a_highline,False,81.28,0.8128,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/hard_dcdc_48v0p8a_highline.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/hard_dcdc_48v0p8a_highline.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,medium_acdc_12v2a,False,84.35,0.8435,1.0,True,True,Invalid or Unsafe BOM;Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/medium_acdc_12v2a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/medium_acdc_12v2a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,medium_acdc_15v1p5a,False,88.64,0.8864,1.0,True,False,Optimistic but Unrealistic Claim;Efficiency Miss;Ripple / Regulation Miss;Stress Violation / Escalation Required,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/candidates/medium_acdc_15v1p5a.json,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks/task_results/medium_acdc_15v1p5a.json,False,False,False,paper_main_raw_api_evidence
