suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,direct_prompting,gpt-4o-mini,1,flyback,flyback,30,0,0.0,70.6063,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed2__flyback__30tasks,direct_prompting,gpt-4o-mini,2,flyback,flyback,30,0,0.0,70.5347,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed3__flyback__30tasks,direct_prompting,gpt-4o-mini,3,flyback,flyback,30,0,0.0,71.4737,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
generic_two_role_mas__gpt-4o-mini__seed1__flyback__30tasks,generic_two_role_mas,gpt-4o-mini,1,flyback,flyback,30,0,0.0,72.538,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
generic_two_role_mas__gpt-4o-mini__seed2__flyback__30tasks,generic_two_role_mas,gpt-4o-mini,2,flyback,flyback,30,0,0.0,71.179,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
generic_two_role_mas__gpt-4o-mini__seed3__flyback__30tasks,generic_two_role_mas,gpt-4o-mini,3,flyback,flyback,30,0,0.0,72.6547,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
pe_gpt_style__gpt-4o-mini__seed1__flyback__30tasks,pe_gpt_style,gpt-4o-mini,1,flyback,flyback,30,0,0.0,69.5943,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
pe_gpt_style__gpt-4o-mini__seed2__flyback__30tasks,pe_gpt_style,gpt-4o-mini,2,flyback,flyback,30,0,0.0,69.1503,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
pe_gpt_style__gpt-4o-mini__seed3__flyback__30tasks,pe_gpt_style,gpt-4o-mini,3,flyback,flyback,30,0,0.0,69.704,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
reference_agent__gpt-4o-mini__seed1__flyback__30tasks,reference_agent,gpt-4o-mini,1,flyback,flyback,30,1,0.0333,77.3183,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
reference_agent__gpt-4o-mini__seed2__flyback__30tasks,reference_agent,gpt-4o-mini,2,flyback,flyback,30,1,0.0333,77.2667,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
reference_agent__gpt-4o-mini__seed3__flyback__30tasks,reference_agent,gpt-4o-mini,3,flyback,flyback,30,1,0.0333,77.2393,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_component_grounding__gpt-4o-mini__seed1__flyback__30tasks,reference_agent__wo_component_grounding,gpt-4o-mini,1,flyback,flyback,30,1,0.0333,71.005,False,True,False,raw_records/flyback/suites/reference_agent__wo_component_grounding__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_component_grounding__gpt-4o-mini__seed2__flyback__30tasks,reference_agent__wo_component_grounding,gpt-4o-mini,2,flyback,flyback,30,1,0.0333,70.8227,False,True,False,raw_records/flyback/suites/reference_agent__wo_component_grounding__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_component_grounding__gpt-4o-mini__seed3__flyback__30tasks,reference_agent__wo_component_grounding,gpt-4o-mini,3,flyback,flyback,30,1,0.0333,70.9523,False,True,False,raw_records/flyback/suites/reference_agent__wo_component_grounding__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_correction_memory__gpt-4o-mini__seed1__flyback__30tasks,reference_agent__wo_correction_memory,gpt-4o-mini,1,flyback,flyback,30,0,0.0,59.034,False,False,True,raw_records/flyback/suites/reference_agent__wo_correction_memory__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_correction_memory__gpt-4o-mini__seed2__flyback__30tasks,reference_agent__wo_correction_memory,gpt-4o-mini,2,flyback,flyback,30,0,0.0,58.9657,False,False,True,raw_records/flyback/suites/reference_agent__wo_correction_memory__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_correction_memory__gpt-4o-mini__seed3__flyback__30tasks,reference_agent__wo_correction_memory,gpt-4o-mini,3,flyback,flyback,30,0,0.0,58.9217,False,False,True,raw_records/flyback/suites/reference_agent__wo_correction_memory__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails__gpt-4o-mini__seed1__flyback__30tasks,reference_agent__wo_formula_guardrails,gpt-4o-mini,1,flyback,flyback,30,0,0.0,70.576,True,False,False,raw_records/flyback/suites/reference_agent__wo_formula_guardrails__gpt-4o-mini__seed1__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails__gpt-4o-mini__seed2__flyback__30tasks,reference_agent__wo_formula_guardrails,gpt-4o-mini,2,flyback,flyback,30,0,0.0,70.837,True,False,False,raw_records/flyback/suites/reference_agent__wo_formula_guardrails__gpt-4o-mini__seed2__flyback__30tasks,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails__gpt-4o-mini__seed3__flyback__30tasks,reference_agent__wo_formula_guardrails,gpt-4o-mini,3,flyback,flyback,30,0,0.0,70.671,True,False,False,raw_records/flyback/suites/reference_agent__wo_formula_guardrails__gpt-4o-mini__seed3__flyback__30tasks,frozen_actual_api_run_records
