suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__gpt-4o__seed1__flyback__30tasks,direct_prompting,gpt-4o,1,flyback,flyback,30,1,0.0333,83.827,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed2__flyback__30tasks,direct_prompting,gpt-4o,2,flyback,flyback,30,1,0.0333,85.4903,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed3__flyback__30tasks,direct_prompting,gpt-4o,3,flyback,flyback,30,1,0.0333,84.5003,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4o__seed1__flyback__30tasks,generic_two_role_mas,gpt-4o,1,flyback,flyback,30,1,0.0333,80.47,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4o__seed2__flyback__30tasks,generic_two_role_mas,gpt-4o,2,flyback,flyback,30,1,0.0333,84.415,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4o__seed3__flyback__30tasks,generic_two_role_mas,gpt-4o,3,flyback,flyback,30,1,0.0333,76.5447,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__gpt-4o__seed1__flyback__30tasks,pe_gpt_style,gpt-4o,1,flyback,flyback,30,1,0.0333,84.8857,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__gpt-4o__seed2__flyback__30tasks,pe_gpt_style,gpt-4o,2,flyback,flyback,30,1,0.0333,81.8257,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__gpt-4o__seed3__flyback__30tasks,pe_gpt_style,gpt-4o,3,flyback,flyback,30,0,0.0,78.9543,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed1__flyback__30tasks,reference_agent,gpt-4o,1,flyback,flyback,30,10,0.3333,97.6273,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed2__flyback__30tasks,reference_agent,gpt-4o,2,flyback,flyback,30,11,0.3667,97.7427,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed3__flyback__30tasks,reference_agent,gpt-4o,3,flyback,flyback,30,11,0.3667,97.6657,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
single_agent_retry__gpt-4o__seed1__flyback__30tasks,single_agent_retry,gpt-4o,1,flyback,flyback,30,1,0.0333,85.235,False,False,False,raw_records/flyback/suites/single_agent_retry__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
single_agent_retry__gpt-4o__seed2__flyback__30tasks,single_agent_retry,gpt-4o,2,flyback,flyback,30,0,0.0,81.664,False,False,False,raw_records/flyback/suites/single_agent_retry__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
single_agent_retry__gpt-4o__seed3__flyback__30tasks,single_agent_retry,gpt-4o,3,flyback,flyback,30,0,0.0,78.0533,False,False,False,raw_records/flyback/suites/single_agent_retry__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4o__seed1__flyback__30tasks,single_agent_same_tools,gpt-4o,1,flyback,flyback,30,1,0.0333,82.6907,False,False,False,raw_records/flyback/suites/single_agent_same_tools__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4o__seed2__flyback__30tasks,single_agent_same_tools,gpt-4o,2,flyback,flyback,30,1,0.0333,83.2617,False,False,False,raw_records/flyback/suites/single_agent_same_tools__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4o__seed3__flyback__30tasks,single_agent_same_tools,gpt-4o,3,flyback,flyback,30,1,0.0333,82.1243,False,False,False,raw_records/flyback/suites/single_agent_same_tools__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
structured_output_only__gpt-4o__seed1__flyback__30tasks,structured_output_only,gpt-4o,1,flyback,flyback,30,1,0.0333,81.5983,False,False,False,raw_records/flyback/suites/structured_output_only__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
structured_output_only__gpt-4o__seed2__flyback__30tasks,structured_output_only,gpt-4o,2,flyback,flyback,30,1,0.0333,84.6723,False,False,False,raw_records/flyback/suites/structured_output_only__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
structured_output_only__gpt-4o__seed3__flyback__30tasks,structured_output_only,gpt-4o,3,flyback,flyback,30,1,0.0333,84.0787,False,False,False,raw_records/flyback/suites/structured_output_only__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
text_only_self_refine__gpt-4o__seed1__flyback__30tasks,text_only_self_refine,gpt-4o,1,flyback,flyback,30,1,0.0333,82.078,False,False,False,raw_records/flyback/suites/text_only_self_refine__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
text_only_self_refine__gpt-4o__seed2__flyback__30tasks,text_only_self_refine,gpt-4o,2,flyback,flyback,30,1,0.0333,74.9223,False,False,False,raw_records/flyback/suites/text_only_self_refine__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
text_only_self_refine__gpt-4o__seed3__flyback__30tasks,text_only_self_refine,gpt-4o,3,flyback,flyback,30,1,0.0333,83.8287,False,False,False,raw_records/flyback/suites/text_only_self_refine__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
