job_label,baseline_name,model_name,seed,variant,task_count,successes,vtsr,mean_score,is_complete_78task_job,evidence_level
direct_prompting__gpt-4o__seed1__full,direct_prompting,gpt-4o,1,full,78,7,0.089744,65.638974,True,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed2__full,direct_prompting,gpt-4o,2,full,78,5,0.064103,66.287949,True,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed3__full,direct_prompting,gpt-4o,3,full,78,5,0.064103,65.662692,True,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4o__seed1__full,generic_two_role_mas,gpt-4o,1,full,78,7,0.089744,64.983077,True,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4o__seed2__full,generic_two_role_mas,gpt-4o,2,full,78,6,0.076923,66.209615,True,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4o__seed3__full,generic_two_role_mas,gpt-4o,3,full,78,6,0.076923,62.713077,True,paper_main_raw_api_evidence
pe_gpt_style__gpt-4o__seed1__full,pe_gpt_style,gpt-4o,1,full,78,6,0.076923,66.279872,True,paper_main_raw_api_evidence
pe_gpt_style__gpt-4o__seed2__full,pe_gpt_style,gpt-4o,2,full,78,7,0.089744,65.473333,True,paper_main_raw_api_evidence
pe_gpt_style__gpt-4o__seed3__full,pe_gpt_style,gpt-4o,3,full,78,4,0.051282,63.98859,True,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed1__full,reference_agent,gpt-4o,1,full,78,56,0.717949,92.741667,True,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed2__full,reference_agent,gpt-4o,2,full,78,47,0.602564,92.572564,True,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed3__full,reference_agent,gpt-4o,3,full,78,51,0.653846,92.477051,True,paper_main_raw_api_evidence
single_agent_retry__gpt-4o__seed1__full,single_agent_retry,gpt-4o,1,full,78,6,0.076923,65.386154,True,paper_main_raw_api_evidence
single_agent_retry__gpt-4o__seed2__full,single_agent_retry,gpt-4o,2,full,78,4,0.051282,64.253205,True,paper_main_raw_api_evidence
single_agent_retry__gpt-4o__seed3__full,single_agent_retry,gpt-4o,3,full,78,5,0.064103,62.939103,True,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4o__seed1__full,single_agent_same_tools,gpt-4o,1,full,78,7,0.089744,64.910769,True,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4o__seed2__full,single_agent_same_tools,gpt-4o,2,full,78,6,0.076923,65.279231,True,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4o__seed3__full,single_agent_same_tools,gpt-4o,3,full,78,6,0.076923,64.553974,True,paper_main_raw_api_evidence
structured_output_only__gpt-4o__seed1__full,structured_output_only,gpt-4o,1,full,78,7,0.089744,64.752436,True,paper_main_raw_api_evidence
structured_output_only__gpt-4o__seed2__full,structured_output_only,gpt-4o,2,full,78,7,0.089744,65.574744,True,paper_main_raw_api_evidence
structured_output_only__gpt-4o__seed3__full,structured_output_only,gpt-4o,3,full,78,7,0.089744,65.154231,True,paper_main_raw_api_evidence
text_only_self_refine__gpt-4o__seed1__full,text_only_self_refine,gpt-4o,1,full,78,6,0.076923,64.326795,True,paper_main_raw_api_evidence
text_only_self_refine__gpt-4o__seed2__full,text_only_self_refine,gpt-4o,2,full,78,7,0.089744,62.083205,True,paper_main_raw_api_evidence
text_only_self_refine__gpt-4o__seed3__full,text_only_self_refine,gpt-4o,3,full,78,6,0.076923,65.189103,True,paper_main_raw_api_evidence
