job_label,baseline_name,model_name,seed,variant,task_count,successes,vtsr,mean_score,is_complete_78task_job,evidence_level
direct_prompting__gpt-4.1-mini__seed1__full,direct_prompting,gpt-4.1-mini,1,full,78,2,0.025641,63.320513,True,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed2__full,direct_prompting,gpt-4.1-mini,2,full,78,2,0.025641,63.972051,True,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed3__full,direct_prompting,gpt-4.1-mini,3,full,78,3,0.038462,64.569744,True,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4.1-mini__seed1__full,generic_two_role_mas,gpt-4.1-mini,1,full,78,2,0.025641,63.752564,True,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4.1-mini__seed2__full,generic_two_role_mas,gpt-4.1-mini,2,full,78,1,0.012821,64.174231,True,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4.1-mini__seed3__full,generic_two_role_mas,gpt-4.1-mini,3,full,78,1,0.012821,63.457949,True,paper_main_raw_api_evidence
pe_gpt_style__gpt-4.1-mini__seed1__full,pe_gpt_style,gpt-4.1-mini,1,full,78,3,0.038462,63.87359,True,paper_main_raw_api_evidence
pe_gpt_style__gpt-4.1-mini__seed2__full,pe_gpt_style,gpt-4.1-mini,2,full,78,0,0.0,63.213462,True,paper_main_raw_api_evidence
pe_gpt_style__gpt-4.1-mini__seed3__full,pe_gpt_style,gpt-4.1-mini,3,full,78,2,0.025641,63.663333,True,paper_main_raw_api_evidence
reference_agent__gpt-4.1-mini__seed1__full,reference_agent,gpt-4.1-mini,1,full,78,55,0.705128,92.495897,True,paper_main_raw_api_evidence
reference_agent__gpt-4.1-mini__seed2__full,reference_agent,gpt-4.1-mini,2,full,78,53,0.679487,92.631538,True,paper_main_raw_api_evidence
reference_agent__gpt-4.1-mini__seed3__full,reference_agent,gpt-4.1-mini,3,full,78,57,0.730769,92.495513,True,paper_main_raw_api_evidence
single_agent_retry__gpt-4.1-mini__seed1__full,single_agent_retry,gpt-4.1-mini,1,full,78,3,0.038462,62.567051,True,paper_main_raw_api_evidence
single_agent_retry__gpt-4.1-mini__seed2__full,single_agent_retry,gpt-4.1-mini,2,full,78,3,0.038462,62.452179,True,paper_main_raw_api_evidence
single_agent_retry__gpt-4.1-mini__seed3__full,single_agent_retry,gpt-4.1-mini,3,full,78,2,0.025641,62.695128,True,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4.1-mini__seed1__full,single_agent_same_tools,gpt-4.1-mini,1,full,78,3,0.038462,62.759615,True,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4.1-mini__seed2__full,single_agent_same_tools,gpt-4.1-mini,2,full,78,4,0.051282,63.217564,True,paper_main_raw_api_evidence
single_agent_same_tools__gpt-4.1-mini__seed3__full,single_agent_same_tools,gpt-4.1-mini,3,full,78,3,0.038462,62.553205,True,paper_main_raw_api_evidence
structured_output_only__gpt-4.1-mini__seed1__full,structured_output_only,gpt-4.1-mini,1,full,78,2,0.025641,62.756026,True,paper_main_raw_api_evidence
structured_output_only__gpt-4.1-mini__seed2__full,structured_output_only,gpt-4.1-mini,2,full,78,4,0.051282,63.308846,True,paper_main_raw_api_evidence
structured_output_only__gpt-4.1-mini__seed3__full,structured_output_only,gpt-4.1-mini,3,full,78,3,0.038462,63.079487,True,paper_main_raw_api_evidence
text_only_self_refine__gpt-4.1-mini__seed1__full,text_only_self_refine,gpt-4.1-mini,1,full,78,1,0.012821,62.00859,True,paper_main_raw_api_evidence
text_only_self_refine__gpt-4.1-mini__seed2__full,text_only_self_refine,gpt-4.1-mini,2,full,78,2,0.025641,62.559744,True,paper_main_raw_api_evidence
text_only_self_refine__gpt-4.1-mini__seed3__full,text_only_self_refine,gpt-4.1-mini,3,full,78,3,0.038462,63.078974,True,paper_main_raw_api_evidence
