suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__o3-mini__seed1__flyback__30tasks,direct_prompting,o3-mini,1,flyback,flyback,30,0,0.0,78.9447,False,False,False,raw_records/flyback/suites/direct_prompting__o3-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed2__flyback__30tasks,direct_prompting,o3-mini,2,flyback,flyback,30,0,0.0,80.085,False,False,False,raw_records/flyback/suites/direct_prompting__o3-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed3__flyback__30tasks,direct_prompting,o3-mini,3,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o3-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed1__flyback__30tasks,reference_agent,o3-mini,1,flyback,flyback,30,10,0.3333,97.641,False,False,False,raw_records/flyback/suites/reference_agent__o3-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed2__flyback__30tasks,reference_agent,o3-mini,2,flyback,flyback,30,11,0.3667,97.7097,False,False,False,raw_records/flyback/suites/reference_agent__o3-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed3__flyback__30tasks,reference_agent,o3-mini,3,flyback,flyback,30,12,0.4,97.6653,False,False,False,raw_records/flyback/suites/reference_agent__o3-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed1__three_phase_inverter__12tasks,direct_prompting,o3-mini,1,three_phase_inverter,three_phase_inverter,12,2,0.1667,97.33,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__o3-mini__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed2__three_phase_inverter__12tasks,direct_prompting,o3-mini,2,three_phase_inverter,three_phase_inverter,12,0,0.0,0.0,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__o3-mini__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed3__three_phase_inverter__12tasks,direct_prompting,o3-mini,3,three_phase_inverter,three_phase_inverter,12,0,0.0,0.0,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__o3-mini__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed1__three_phase_inverter__12tasks,reference_agent,o3-mini,1,three_phase_inverter,three_phase_inverter,12,11,0.9167,98.8333,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__o3-mini__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed2__three_phase_inverter__12tasks,reference_agent,o3-mini,2,three_phase_inverter,three_phase_inverter,12,11,0.9167,98.8333,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__o3-mini__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed3__three_phase_inverter__12tasks,reference_agent,o3-mini,3,three_phase_inverter,three_phase_inverter,12,11,0.9167,98.8333,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__o3-mini__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed1__all__36tasks,direct_prompting,o3-mini,1,topology_full,all,36,0,0.0,43.3044,False,False,False,raw_records/topology_full/suites/direct_prompting__o3-mini__seed1__all__36tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed2__all__36tasks,direct_prompting,o3-mini,2,topology_full,all,36,0,0.0,25.5472,False,False,False,raw_records/topology_full/suites/direct_prompting__o3-mini__seed2__all__36tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed3__all__36tasks,direct_prompting,o3-mini,3,topology_full,all,36,0,0.0,0.0,False,False,False,raw_records/topology_full/suites/direct_prompting__o3-mini__seed3__all__36tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed1__all__36tasks,reference_agent,o3-mini,1,topology_full,all,36,30,0.8333,86.0558,False,False,False,raw_records/topology_full/suites/reference_agent__o3-mini__seed1__all__36tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed2__all__36tasks,reference_agent,o3-mini,2,topology_full,all,36,32,0.8889,86.0972,False,False,False,raw_records/topology_full/suites/reference_agent__o3-mini__seed2__all__36tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed3__all__36tasks,reference_agent,o3-mini,3,topology_full,all,36,31,0.8611,86.1267,False,False,False,raw_records/topology_full/suites/reference_agent__o3-mini__seed3__all__36tasks,paper_main_raw_api_evidence
