baseline_name,model_name,variant,track,seed_count,task_records,vtsr_mean,mean_score,evidence_level
direct_prompting,gpt-4o-mini,full,flyback,3,90,0.0,70.871556,frozen_actual_api_run_records
direct_prompting,gpt-4o-mini,full,three_phase_inverter,3,36,0.083333,95.596667,frozen_actual_api_run_records
direct_prompting,gpt-4o-mini,full,topology_full,3,108,0.0,45.956852,frozen_actual_api_run_records
generic_two_role_mas,gpt-4o-mini,full,flyback,3,90,0.0,72.123889,frozen_actual_api_run_records
generic_two_role_mas,gpt-4o-mini,full,three_phase_inverter,3,36,0.055556,96.363333,frozen_actual_api_run_records
generic_two_role_mas,gpt-4o-mini,full,topology_full,3,108,0.0,45.598148,frozen_actual_api_run_records
pe_gpt_style,gpt-4o-mini,full,flyback,3,90,0.0,69.482889,frozen_actual_api_run_records
pe_gpt_style,gpt-4o-mini,full,three_phase_inverter,3,36,0.083333,93.478889,frozen_actual_api_run_records
pe_gpt_style,gpt-4o-mini,full,topology_full,3,108,0.0,43.781204,frozen_actual_api_run_records
reference_agent,gpt-4o-mini,full,flyback,3,90,0.033333,77.274778,frozen_actual_api_run_records
reference_agent,gpt-4o-mini,full,three_phase_inverter,3,36,0.916667,98.833333,frozen_actual_api_run_records
reference_agent,gpt-4o-mini,full,topology_full,3,108,0.796296,86.028519,frozen_actual_api_run_records
reference_agent__wo_component_grounding,gpt-4o-mini,without_component_grounding,flyback,3,90,0.033333,70.926667,frozen_actual_api_run_records
reference_agent__wo_component_grounding,gpt-4o-mini,without_component_grounding,three_phase_inverter,3,36,0.0,79.666667,frozen_actual_api_run_records
reference_agent__wo_component_grounding,gpt-4o-mini,without_component_grounding,topology_full,3,108,0.0,67.853611,frozen_actual_api_run_records
reference_agent__wo_correction_memory,gpt-4o-mini,without_correction_memory,flyback,3,90,0.0,58.973778,frozen_actual_api_run_records
reference_agent__wo_correction_memory,gpt-4o-mini,without_correction_memory,three_phase_inverter,3,36,0.944444,99.222222,frozen_actual_api_run_records
reference_agent__wo_correction_memory,gpt-4o-mini,without_correction_memory,topology_full,3,108,0.842593,86.055185,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails,gpt-4o-mini,without_formula_guardrails,flyback,3,90,0.0,70.694667,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails,gpt-4o-mini,without_formula_guardrails,three_phase_inverter,3,36,1.0,100.0,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails,gpt-4o-mini,without_formula_guardrails,topology_full,3,108,0.12963,83.899167,frozen_actual_api_run_records
single_agent_retry,gpt-4o-mini,full,flyback,3,90,0.0,70.262778,frozen_actual_api_run_records
single_agent_retry,gpt-4o-mini,full,three_phase_inverter,3,36,0.055556,95.586667,frozen_actual_api_run_records
single_agent_retry,gpt-4o-mini,full,topology_full,3,108,0.0,45.223519,frozen_actual_api_run_records
single_agent_same_tools,gpt-4o-mini,full,flyback,3,90,0.0,70.131444,frozen_actual_api_run_records
single_agent_same_tools,gpt-4o-mini,full,three_phase_inverter,3,36,0.083333,79.92,frozen_actual_api_run_records
single_agent_same_tools,gpt-4o-mini,full,topology_full,3,108,0.0,45.784907,frozen_actual_api_run_records
structured_output_only,gpt-4o-mini,full,flyback,3,90,0.0,71.999444,frozen_actual_api_run_records
structured_output_only,gpt-4o-mini,full,three_phase_inverter,3,36,0.027778,95.473333,frozen_actual_api_run_records
structured_output_only,gpt-4o-mini,full,topology_full,3,108,0.0,43.860741,frozen_actual_api_run_records
text_only_self_refine,gpt-4o-mini,full,flyback,3,90,0.0,71.131778,frozen_actual_api_run_records
text_only_self_refine,gpt-4o-mini,full,three_phase_inverter,3,36,0.055556,85.115556,frozen_actual_api_run_records
text_only_self_refine,gpt-4o-mini,full,topology_full,3,108,0.0,46.439074,frozen_actual_api_run_records
