baseline_name,model_name,variant,track,seed_count,task_records,vtsr_mean,mean_score,evidence_level
direct_prompting,gpt-4o,full,flyback,3,90,0.033333,84.605889,paper_main_raw_api_evidence
direct_prompting,gpt-4o,full,three_phase_inverter,3,36,0.388889,97.133333,paper_main_raw_api_evidence
direct_prompting,gpt-4o,full,topology_full,3,108,0.0,39.820926,paper_main_raw_api_evidence
generic_two_role_mas,gpt-4o,full,flyback,3,90,0.033333,80.476556,paper_main_raw_api_evidence
generic_two_role_mas,gpt-4o,full,three_phase_inverter,3,36,0.444444,97.42,paper_main_raw_api_evidence
generic_two_role_mas,gpt-4o,full,topology_full,3,108,0.0,40.505926,paper_main_raw_api_evidence
pe_gpt_style,gpt-4o,full,flyback,3,90,0.022222,81.888556,paper_main_raw_api_evidence
pe_gpt_style,gpt-4o,full,three_phase_inverter,3,36,0.416667,97.426667,paper_main_raw_api_evidence
pe_gpt_style,gpt-4o,full,topology_full,3,108,0.0,40.653056,paper_main_raw_api_evidence
reference_agent,gpt-4o,full,flyback,3,90,0.355556,97.678556,paper_main_raw_api_evidence
reference_agent,gpt-4o,full,three_phase_inverter,3,36,0.972222,99.611111,paper_main_raw_api_evidence
reference_agent,gpt-4o,full,topology_full,3,108,0.805556,86.024537,paper_main_raw_api_evidence
single_agent_retry,gpt-4o,full,flyback,3,90,0.011111,81.650778,paper_main_raw_api_evidence
single_agent_retry,gpt-4o,full,three_phase_inverter,3,36,0.388889,97.07,paper_main_raw_api_evidence
single_agent_retry,gpt-4o,full,topology_full,3,108,0.0,38.685463,paper_main_raw_api_evidence
single_agent_same_tools,gpt-4o,full,flyback,3,90,0.033333,82.692222,paper_main_raw_api_evidence
single_agent_same_tools,gpt-4o,full,three_phase_inverter,3,36,0.444444,97.28,paper_main_raw_api_evidence
single_agent_same_tools,gpt-4o,full,topology_full,3,108,0.0,39.311574,paper_main_raw_api_evidence
structured_output_only,gpt-4o,full,flyback,3,90,0.033333,83.449778,paper_main_raw_api_evidence
structured_output_only,gpt-4o,full,three_phase_inverter,3,36,0.5,97.563333,paper_main_raw_api_evidence
structured_output_only,gpt-4o,full,topology_full,3,108,0.0,39.118426,paper_main_raw_api_evidence
text_only_self_refine,gpt-4o,full,flyback,3,90,0.033333,80.276333,paper_main_raw_api_evidence
text_only_self_refine,gpt-4o,full,three_phase_inverter,3,36,0.444444,97.5,paper_main_raw_api_evidence
text_only_self_refine,gpt-4o,full,topology_full,3,108,0.0,38.980185,paper_main_raw_api_evidence
