task_id,bank,topology,difficulty_tier,split,track,task_family,source,input_min,input_max,input_domain,output_voltage,output_power,efficiency_target,ripple_or_quality_target,component_catalog_version,schema_version,path
boundary_acdc_15v1a_tight_margin,flyback,flyback,boundary,public_dev,autonomous_flyback_design,acdc_boundary,pebench_v1,85,265,ac,15.0,15.0,88.4,42.0,v0.1,flyback-v1,pebench/tasks/flyback/boundary_acdc_15v1a_tight_margin.yaml
boundary_acdc_24v1a_high_eff,flyback,flyback,boundary,public_dev,autonomous_flyback_design,acdc_boundary,pebench_v1,90,265,ac,24.0,24.0,89.2,45.0,v0.1,flyback-v1,pebench/tasks/flyback/boundary_acdc_24v1a_high_eff.yaml
boundary_dcdc_12v3a_narrow_duty,flyback,flyback,boundary,public_dev,autonomous_flyback_design,dcdc_boundary,pebench_v1,36,60,dc,12.0,36.0,88.8,32.0,v0.1,flyback-v1,pebench/tasks/flyback/boundary_dcdc_12v3a_narrow_duty.yaml
boundary_dcdc_28v0p9a_low_stress,flyback,flyback,boundary,private_holdout,autonomous_flyback_design,dcdc_boundary,pebench_v1,48,96,dc,28.0,25.2,88.9,42.0,v0.1,flyback-v1,pebench/tasks/flyback/boundary_dcdc_28v0p9a_low_stress.yaml
easy_acdc_12v1a,flyback,flyback,easy,public_dev,autonomous_flyback_design,acdc_general,pebench_v1,90,265,ac,12.0,12.0,83.5,55.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_acdc_12v1a.yaml
easy_acdc_5v1a,flyback,flyback,easy,public_dev,autonomous_flyback_design,acdc_low_power,pebench_v1,85,265,ac,5.0,5.0,81.0,60.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_acdc_5v1a.yaml
easy_dcdc_12v0p5a,flyback,flyback,easy,public_dev,autonomous_flyback_design,dcdc_auxiliary,pebench_v2_calibrated,18,36,dc,12.0,6.0,84.0,55.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_dcdc_12v0p5a.yaml
easy_dcdc_15v0p8a,flyback,flyback,easy,public_dev,autonomous_flyback_design,dcdc_auxiliary,pebench_v1,24,48,dc,15.0,12.0,85.0,70.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_dcdc_15v0p8a.yaml
easy_dcdc_24v0p5a,flyback,flyback,easy,private_holdout,autonomous_flyback_design,dcdc_general,pebench_v1,36,72,dc,24.0,12.0,85.5,70.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_dcdc_24v0p5a.yaml
easy_dcdc_5v2a,flyback,flyback,easy,public_dev,autonomous_flyback_design,dcdc_low_voltage,pebench_v2_calibrated,18,36,dc,5.0,10.0,81.0,50.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_dcdc_5v2a.yaml
hard_acdc_12v2p2a_lowripple,flyback,flyback,hard,public_dev,autonomous_flyback_design,acdc_low_ripple,pebench_v1,85,265,ac,12.0,26.4,88.8,38.0,v0.1,flyback-v1,pebench/tasks/flyback/hard_acdc_12v2p2a_lowripple.yaml
hard_acdc_19v1p5a_compact,flyback,flyback,hard,private_holdout,autonomous_flyback_design,acdc_compact,pebench_v1,90,265,ac,19.0,28.5,88.9,42.0,v0.1,flyback-v1,pebench/tasks/flyback/hard_acdc_19v1p5a_compact.yaml
hard_acdc_24v1p2a_eff89,flyback,flyback,hard,public_dev,autonomous_flyback_design,acdc_high_efficiency,pebench_v1,85,265,ac,24.0,28.8,89.0,45.0,v0.1,flyback-v1,pebench/tasks/flyback/hard_acdc_24v1p2a_eff89.yaml
hard_dcdc_12v2p5a_lowripple,flyback,flyback,hard,public_dev,autonomous_flyback_design,dcdc_low_ripple,pebench_v1,36,60,dc,12.0,30.0,88.5,35.0,v0.1,flyback-v1,pebench/tasks/flyback/hard_dcdc_12v2p5a_lowripple.yaml
hard_dcdc_24v1p8a_eff89,flyback,flyback,hard,public_dev,autonomous_flyback_design,dcdc_high_efficiency,pebench_v1,36,72,dc,24.0,43.2,89.0,40.0,v0.1,flyback-v1,pebench/tasks/flyback/hard_dcdc_24v1p8a_eff89.yaml
hard_dcdc_48v0p8a_highline,flyback,flyback,hard,private_holdout,autonomous_flyback_design,dcdc_highline,pebench_v1,72,120,dc,48.0,38.4,88.7,55.0,v0.1,flyback-v1,pebench/tasks/flyback/hard_dcdc_48v0p8a_highline.yaml
easy_acdc_18v0p6a,flyback,flyback,medium,public_dev,autonomous_flyback_design,acdc_general,pebench_v2_calibrated,90,265,ac,18.0,10.8,84.0,60.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_acdc_18v0p6a.yaml
easy_acdc_9v0p7a,flyback,flyback,medium,public_dev,autonomous_flyback_design,acdc_low_power,pebench_v2_calibrated,85,265,ac,9.0,6.3,82.0,65.0,v0.1,flyback-v1,pebench/tasks/flyback/easy_acdc_9v0p7a.yaml
medium_acdc_12v2a,flyback,flyback,medium,public_dev,autonomous_flyback_design,acdc_general,pebench_v1,85,265,ac,12.0,24.0,86.5,70.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_acdc_12v2a.yaml
medium_acdc_15v1p5a,flyback,flyback,medium,public_dev,autonomous_flyback_design,acdc_general,pebench_v1,90,265,ac,15.0,22.5,87.5,60.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_acdc_15v1p5a.yaml
medium_acdc_24v0p8a,flyback,flyback,medium,public_dev,autonomous_flyback_design,acdc_general,pebench_v1,90,265,ac,24.0,19.2,87.0,55.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_acdc_24v0p8a.yaml
medium_acdc_5v3a,flyback,flyback,medium,public_dev,autonomous_flyback_design,acdc_low_voltage,pebench_v1,85,265,ac,5.0,15.0,86.8,50.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_acdc_5v3a.yaml
medium_dcdc_12v1p8a,flyback,flyback,medium,public_dev,autonomous_flyback_design,dcdc_general,pebench_v1,24,48,dc,12.0,21.6,87.2,45.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_dcdc_12v1p8a.yaml
medium_dcdc_15v1p6a,flyback,flyback,medium,public_dev,autonomous_flyback_design,dcdc_general,pebench_v1,24,60,dc,15.0,24.0,87.6,50.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_dcdc_15v1p6a.yaml
medium_dcdc_24v1a,flyback,flyback,medium,public_dev,autonomous_flyback_design,dcdc_general,pebench_v1,36,72,dc,24.0,24.0,87.0,65.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_dcdc_24v1a.yaml
medium_dcdc_24v1p4a,flyback,flyback,medium,private_holdout,autonomous_flyback_design,dcdc_general,pebench_v1,36,72,dc,24.0,33.6,87.8,55.0,v0.1,flyback-v1,pebench/tasks/flyback/medium_dcdc_24v1p4a.yaml
stress_acdc_12v2a_ambiguous_bom,flyback,flyback,stress,public_dev,autonomous_flyback_design,acdc_conflicting_objectives,pebench_v1,85,265,ac,12.0,24.0,88.5,35.0,v0.1,flyback-v1,pebench/tasks/flyback/stress_acdc_12v2a_ambiguous_bom.yaml
stress_acdc_24v1p3a_smallsize,flyback,flyback,stress,private_holdout,autonomous_flyback_design,acdc_conflicting_objectives,pebench_v1,90,265,ac,24.0,31.2,89.1,38.0,v0.1,flyback-v1,pebench/tasks/flyback/stress_acdc_24v1p3a_smallsize.yaml
stress_acdc_5v3a_conflicting_cost_size,flyback,flyback,stress,public_dev,autonomous_flyback_design,acdc_conflicting_objectives,pebench_v1,85,265,ac,5.0,15.0,88.9,30.0,v0.1,flyback-v1,pebench/tasks/flyback/stress_acdc_5v3a_conflicting_cost_size.yaml
stress_dcdc_12v3a_conflicting_targets,flyback,flyback,stress,public_dev,autonomous_flyback_design,dcdc_conflicting_objectives,pebench_v1,36,60,dc,12.0,36.0,89.0,28.0,v0.1,flyback-v1,pebench/tasks/flyback/stress_dcdc_12v3a_conflicting_targets.yaml
inverter_3ph_easy_grid_400v_20kw,three_phase_inverter,three_phase_inverter,easy,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,620,700,dc,400.0,20000.0,96.5,3.5,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_easy_grid_400v_20kw.yaml
inverter_3ph_easy_grid_480v_50kw,three_phase_inverter,three_phase_inverter,easy,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,760,850,dc,480.0,50000.0,97.0,3.0,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_easy_grid_480v_50kw.yaml
inverter_3ph_easy_traction_380v_30kw,three_phase_inverter,three_phase_inverter,easy,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,520,650,dc,380.0,30000.0,96.0,4.0,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_easy_traction_380v_30kw.yaml
inverter_3ph_hard_grid_800v_100kw,three_phase_inverter,three_phase_inverter,hard,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,1200,1500,dc,800.0,100000.0,97.4,2.5,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_hard_grid_800v_100kw.yaml
inverter_3ph_hard_islanding_480v_40kw,three_phase_inverter,three_phase_inverter,hard,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,700,850,dc,480.0,40000.0,96.8,2.5,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_hard_islanding_480v_40kw.yaml
inverter_3ph_hard_traction_650v_120kw,three_phase_inverter,three_phase_inverter,hard,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,850,1000,dc,650.0,120000.0,96.9,3.0,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_hard_traction_650v_120kw.yaml
inverter_3ph_medium_grid_480v_100kw,three_phase_inverter,three_phase_inverter,medium,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,760,900,dc,480.0,100000.0,97.2,2.8,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_medium_grid_480v_100kw.yaml
inverter_3ph_medium_microgrid_480v_25kw,three_phase_inverter,three_phase_inverter,medium,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,650,760,dc,480.0,25000.0,96.4,3.2,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_medium_microgrid_480v_25kw.yaml
inverter_3ph_medium_traction_380v_60kw,three_phase_inverter,three_phase_inverter,medium,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,560,720,dc,380.0,60000.0,96.2,3.8,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_medium_traction_380v_60kw.yaml
inverter_3ph_medium_ups_208v_15kw,three_phase_inverter,three_phase_inverter,medium,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,340,430,dc,208.0,15000.0,95.0,4.0,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_medium_ups_208v_15kw.yaml
inverter_3ph_stress_high_current_400v_200kw,three_phase_inverter,three_phase_inverter,stress,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,600,720,dc,400.0,200000.0,96.0,4.0,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_stress_high_current_400v_200kw.yaml
inverter_3ph_stress_low_dc_link_208v_60kw,three_phase_inverter,three_phase_inverter,stress,extension,three_phase_inverter_design,three_phase_inverter,pebench_final_78task_release_v1,300,380,dc,208.0,60000.0,95.0,4.5,pebench-inverter-v0.1,pebench_inverter_v0.1,pebench/tasks/inverter/inverter_3ph_stress_low_dc_link_208v_60kw.yaml
topology_boost_boundary_24v1p2a,topology_full,boost,boundary,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,7,9,dc,24.0,28.8,87.5,40.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_boundary_24v1p2a.yaml
topology_boost_easy_12v1a,topology_full,boost,easy,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,5,9,dc,12.0,12.0,86.0,55.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_easy_12v1a.yaml
