job_label,baseline_name,model_name,seed,variant,task_count,successes,vtsr,mean_score,is_complete_78task_job,evidence_level
direct_prompting__gpt-4o-mini__seed1__full,direct_prompting,gpt-4o-mini,1,full,78,0,0.0,62.877949,True,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed2__full,direct_prompting,gpt-4o-mini,2,full,78,1,0.012821,62.89859,True,frozen_actual_api_run_records
direct_prompting__gpt-4o-mini__seed3__full,direct_prompting,gpt-4o-mini,3,full,78,2,0.025641,63.752436,True,frozen_actual_api_run_records
generic_two_role_mas__gpt-4o-mini__seed1__full,generic_two_role_mas,gpt-4o-mini,1,full,78,1,0.012821,63.343077,True,frozen_actual_api_run_records
generic_two_role_mas__gpt-4o-mini__seed2__full,generic_two_role_mas,gpt-4o-mini,2,full,78,0,0.0,63.346154,True,frozen_actual_api_run_records
generic_two_role_mas__gpt-4o-mini__seed3__full,generic_two_role_mas,gpt-4o-mini,3,full,78,1,0.012821,64.141923,True,frozen_actual_api_run_records
pe_gpt_style__gpt-4o-mini__seed1__full,pe_gpt_style,gpt-4o-mini,1,full,78,1,0.012821,61.285,True,frozen_actual_api_run_records
pe_gpt_style__gpt-4o-mini__seed2__full,pe_gpt_style,gpt-4o-mini,2,full,78,2,0.025641,61.899487,True,frozen_actual_api_run_records
pe_gpt_style__gpt-4o-mini__seed3__full,pe_gpt_style,gpt-4o-mini,3,full,78,0,0.0,60.752308,True,frozen_actual_api_run_records
reference_agent__gpt-4o-mini__seed1__full,reference_agent,gpt-4o-mini,1,full,78,43,0.551282,84.551795,True,frozen_actual_api_run_records
reference_agent__gpt-4o-mini__seed2__full,reference_agent,gpt-4o-mini,2,full,78,42,0.538462,84.770769,True,frozen_actual_api_run_records
reference_agent__gpt-4o-mini__seed3__full,reference_agent,gpt-4o-mini,3,full,78,37,0.474359,84.572436,True,frozen_actual_api_run_records
reference_agent__wo_component_grounding__gpt-4o-mini__seed1__without_component_grounding,reference_agent__wo_component_grounding,gpt-4o-mini,1,without_component_grounding,78,1,0.012821,70.724359,True,frozen_actual_api_run_records
reference_agent__wo_component_grounding__gpt-4o-mini__seed2__without_component_grounding,reference_agent__wo_component_grounding,gpt-4o-mini,2,without_component_grounding,78,1,0.012821,70.623205,True,frozen_actual_api_run_records
reference_agent__wo_component_grounding__gpt-4o-mini__seed3__without_component_grounding,reference_agent__wo_component_grounding,gpt-4o-mini,3,without_component_grounding,78,1,0.012821,71.211282,True,frozen_actual_api_run_records
reference_agent__wo_correction_memory__gpt-4o-mini__seed1__without_correction_memory,reference_agent__wo_correction_memory,gpt-4o-mini,1,without_correction_memory,78,42,0.538462,77.667051,True,frozen_actual_api_run_records
reference_agent__wo_correction_memory__gpt-4o-mini__seed2__without_correction_memory,reference_agent__wo_correction_memory,gpt-4o-mini,2,without_correction_memory,78,44,0.564103,77.788462,True,frozen_actual_api_run_records
reference_agent__wo_correction_memory__gpt-4o-mini__seed3__without_correction_memory,reference_agent__wo_correction_memory,gpt-4o-mini,3,without_correction_memory,78,39,0.5,77.539359,True,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails__gpt-4o-mini__seed1__without_formula_guardrails,reference_agent__wo_formula_guardrails,gpt-4o-mini,1,without_formula_guardrails,78,17,0.217949,81.32141,True,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails__gpt-4o-mini__seed2__without_formula_guardrails,reference_agent__wo_formula_guardrails,gpt-4o-mini,2,without_formula_guardrails,78,18,0.230769,81.306282,True,frozen_actual_api_run_records
reference_agent__wo_formula_guardrails__gpt-4o-mini__seed3__without_formula_guardrails,reference_agent__wo_formula_guardrails,gpt-4o-mini,3,without_formula_guardrails,78,15,0.192308,81.265,True,frozen_actual_api_run_records
single_agent_retry__gpt-4o-mini__seed1__full,single_agent_retry,gpt-4o-mini,1,full,78,2,0.025641,62.432051,True,frozen_actual_api_run_records
single_agent_retry__gpt-4o-mini__seed2__full,single_agent_retry,gpt-4o-mini,2,full,78,0,0.0,63.25859,True,frozen_actual_api_run_records
single_agent_retry__gpt-4o-mini__seed3__full,single_agent_retry,gpt-4o-mini,3,full,78,0,0.0,62.115897,True,frozen_actual_api_run_records
single_agent_same_tools__gpt-4o-mini__seed1__full,single_agent_same_tools,gpt-4o-mini,1,full,78,1,0.012821,61.366923,True,frozen_actual_api_run_records
single_agent_same_tools__gpt-4o-mini__seed2__full,single_agent_same_tools,gpt-4o-mini,2,full,78,2,0.025641,60.683846,True,frozen_actual_api_run_records
single_agent_same_tools__gpt-4o-mini__seed3__full,single_agent_same_tools,gpt-4o-mini,3,full,78,0,0.0,59.150769,True,frozen_actual_api_run_records
structured_output_only__gpt-4o-mini__seed1__full,structured_output_only,gpt-4o-mini,1,full,78,0,0.0,63.135897,True,frozen_actual_api_run_records
structured_output_only__gpt-4o-mini__seed2__full,structured_output_only,gpt-4o-mini,2,full,78,1,0.012821,62.425,True,frozen_actual_api_run_records
structured_output_only__gpt-4o-mini__seed3__full,structured_output_only,gpt-4o-mini,3,full,78,0,0.0,62.310256,True,frozen_actual_api_run_records
text_only_self_refine__gpt-4o-mini__seed1__full,text_only_self_refine,gpt-4o-mini,1,full,78,1,0.012821,63.578974,True,frozen_actual_api_run_records
text_only_self_refine__gpt-4o-mini__seed2__full,text_only_self_refine,gpt-4o-mini,2,full,78,0,0.0,59.719615,True,frozen_actual_api_run_records
text_only_self_refine__gpt-4o-mini__seed3__full,text_only_self_refine,gpt-4o-mini,3,full,78,1,0.012821,62.360897,True,frozen_actual_api_run_records
