suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,direct_prompting,gpt-4.1-mini,1,flyback,flyback,30,1,0.0333,81.1983,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed2__flyback__30tasks,direct_prompting,gpt-4.1-mini,2,flyback,flyback,30,0,0.0,82.0337,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1-mini__seed3__flyback__30tasks,direct_prompting,gpt-4.1-mini,3,flyback,flyback,30,1,0.0333,83.922,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4.1-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4.1-mini__seed1__flyback__30tasks,generic_two_role_mas,gpt-4.1-mini,1,flyback,flyback,30,1,0.0333,82.8507,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4.1-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4.1-mini__seed2__flyback__30tasks,generic_two_role_mas,gpt-4.1-mini,2,flyback,flyback,30,0,0.0,81.6167,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4.1-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__gpt-4.1-mini__seed3__flyback__30tasks,generic_two_role_mas,gpt-4.1-mini,3,flyback,flyback,30,0,0.0,81.562,False,False,False,raw_records/flyback/suites/generic_two_role_mas__gpt-4.1-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__gpt-4.1-mini__seed1__flyback__30tasks,pe_gpt_style,gpt-4.1-mini,1,flyback,flyback,30,1,0.0333,82.941,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4.1-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__gpt-4.1-mini__seed2__flyback__30tasks,pe_gpt_style,gpt-4.1-mini,2,flyback,flyback,30,0,0.0,81.936,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4.1-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__gpt-4.1-mini__seed3__flyback__30tasks,pe_gpt_style,gpt-4.1-mini,3,flyback,flyback,30,1,0.0333,83.2057,False,False,False,raw_records/flyback/suites/pe_gpt_style__gpt-4.1-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1-mini__seed1__flyback__30tasks,reference_agent,gpt-4.1-mini,1,flyback,flyback,30,12,0.4,97.649,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4.1-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
