baseline_name,model_name,variant,track,seed_count,task_records,vtsr_mean,mean_score,evidence_level
direct_prompting,gpt-4.1-mini,full,flyback,3,90,0.022222,82.384667,paper_main_raw_api_evidence
direct_prompting,gpt-4.1-mini,full,three_phase_inverter,3,36,0.138889,95.8,paper_main_raw_api_evidence
direct_prompting,gpt-4.1-mini,full,topology_full,3,108,0.0,37.98,paper_main_raw_api_evidence
generic_two_role_mas,gpt-4.1-mini,full,flyback,3,90,0.011111,82.009778,paper_main_raw_api_evidence
generic_two_role_mas,gpt-4.1-mini,full,three_phase_inverter,3,36,0.083333,95.083333,paper_main_raw_api_evidence
generic_two_role_mas,gpt-4.1-mini,full,topology_full,3,108,0.0,38.186389,paper_main_raw_api_evidence
pe_gpt_style,gpt-4.1-mini,full,flyback,3,90,0.022222,82.694222,paper_main_raw_api_evidence
pe_gpt_style,gpt-4.1-mini,full,three_phase_inverter,3,36,0.083333,95.25,paper_main_raw_api_evidence
pe_gpt_style,gpt-4.1-mini,full,topology_full,3,108,0.0,37.102315,paper_main_raw_api_evidence
reference_agent,gpt-4.1-mini,full,flyback,3,90,0.411111,97.695111,paper_main_raw_api_evidence
reference_agent,gpt-4.1-mini,full,three_phase_inverter,3,36,0.944444,99.222222,paper_main_raw_api_evidence
reference_agent,gpt-4.1-mini,full,topology_full,3,108,0.87037,86.018796,paper_main_raw_api_evidence
single_agent_retry,gpt-4.1-mini,full,flyback,3,90,0.0,79.488222,paper_main_raw_api_evidence
single_agent_retry,gpt-4.1-mini,full,three_phase_inverter,3,36,0.222222,96.226667,paper_main_raw_api_evidence
single_agent_retry,gpt-4.1-mini,full,topology_full,3,108,0.0,37.255741,paper_main_raw_api_evidence
single_agent_same_tools,gpt-4.1-mini,full,flyback,3,90,0.033333,80.192,paper_main_raw_api_evidence
single_agent_same_tools,gpt-4.1-mini,full,three_phase_inverter,3,36,0.194444,96.05,paper_main_raw_api_evidence
single_agent_same_tools,gpt-4.1-mini,full,topology_full,3,108,0.0,37.3175,paper_main_raw_api_evidence
structured_output_only,gpt-4.1-mini,full,flyback,3,90,0.033333,80.592556,paper_main_raw_api_evidence
structured_output_only,gpt-4.1-mini,full,three_phase_inverter,3,36,0.166667,95.76,paper_main_raw_api_evidence
structured_output_only,gpt-4.1-mini,full,topology_full,3,108,0.0,37.523796,paper_main_raw_api_evidence
text_only_self_refine,gpt-4.1-mini,full,flyback,3,90,0.011111,79.331222,paper_main_raw_api_evidence
text_only_self_refine,gpt-4.1-mini,full,three_phase_inverter,3,36,0.138889,95.47,paper_main_raw_api_evidence
text_only_self_refine,gpt-4.1-mini,full,topology_full,3,108,0.0,37.59037,paper_main_raw_api_evidence
