suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__o3-mini__seed1__flyback__30tasks,direct_prompting,o3-mini,1,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o3-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed2__flyback__30tasks,direct_prompting,o3-mini,2,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o3-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o3-mini__seed3__flyback__30tasks,direct_prompting,o3-mini,3,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o3-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__o3-mini__seed1__flyback__30tasks,generic_two_role_mas,o3-mini,1,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/generic_two_role_mas__o3-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__o3-mini__seed2__flyback__30tasks,generic_two_role_mas,o3-mini,2,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/generic_two_role_mas__o3-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
generic_two_role_mas__o3-mini__seed3__flyback__30tasks,generic_two_role_mas,o3-mini,3,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/generic_two_role_mas__o3-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__o3-mini__seed1__flyback__30tasks,pe_gpt_style,o3-mini,1,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/pe_gpt_style__o3-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__o3-mini__seed2__flyback__30tasks,pe_gpt_style,o3-mini,2,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/pe_gpt_style__o3-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
pe_gpt_style__o3-mini__seed3__flyback__30tasks,pe_gpt_style,o3-mini,3,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/pe_gpt_style__o3-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o3-mini__seed1__flyback__30tasks,reference_agent,o3-mini,1,flyback,flyback,30,10,0.3333,97.641,False,False,False,raw_records/flyback/suites/reference_agent__o3-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
