suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__gpt-4o__seed1__flyback__30tasks,direct_prompting,gpt-4o,1,flyback,flyback,30,1,0.0333,78.0823,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed2__flyback__30tasks,direct_prompting,gpt-4o,2,flyback,flyback,30,1,0.0333,79.1027,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed3__flyback__30tasks,direct_prompting,gpt-4o,3,flyback,flyback,30,0,0.0,78.6717,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed1__flyback__30tasks,reference_agent,gpt-4o,1,flyback,flyback,30,10,0.3333,97.6273,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o__seed1__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed2__flyback__30tasks,reference_agent,gpt-4o,2,flyback,flyback,30,11,0.3667,97.7427,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o__seed2__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed3__flyback__30tasks,reference_agent,gpt-4o,3,flyback,flyback,30,11,0.3667,97.6657,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4o__seed3__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed1__three_phase_inverter__12tasks,direct_prompting,gpt-4o,1,three_phase_inverter,three_phase_inverter,12,6,0.5,97.83,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__gpt-4o__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed2__three_phase_inverter__12tasks,direct_prompting,gpt-4o,2,three_phase_inverter,three_phase_inverter,12,6,0.5,97.81,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__gpt-4o__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed3__three_phase_inverter__12tasks,direct_prompting,gpt-4o,3,three_phase_inverter,three_phase_inverter,12,5,0.4167,97.48,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__gpt-4o__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed1__three_phase_inverter__12tasks,reference_agent,gpt-4o,1,three_phase_inverter,three_phase_inverter,12,12,1.0,100.0,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__gpt-4o__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed2__three_phase_inverter__12tasks,reference_agent,gpt-4o,2,three_phase_inverter,three_phase_inverter,12,12,1.0,100.0,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__gpt-4o__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed3__three_phase_inverter__12tasks,reference_agent,gpt-4o,3,three_phase_inverter,three_phase_inverter,12,11,0.9167,98.8333,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__gpt-4o__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed1__all__36tasks,direct_prompting,gpt-4o,1,topology_full,all,36,0,0.0,41.33,False,False,False,raw_records/topology_full/suites/direct_prompting__gpt-4o__seed1__all__36tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed2__all__36tasks,direct_prompting,gpt-4o,2,topology_full,all,36,0,0.0,39.0797,False,False,False,raw_records/topology_full/suites/direct_prompting__gpt-4o__seed2__all__36tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4o__seed3__all__36tasks,direct_prompting,gpt-4o,3,topology_full,all,36,0,0.0,39.3239,False,False,False,raw_records/topology_full/suites/direct_prompting__gpt-4o__seed3__all__36tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed1__all__36tasks,reference_agent,gpt-4o,1,topology_full,all,36,34,0.9444,86.2508,False,False,False,raw_records/topology_full/suites/reference_agent__gpt-4o__seed1__all__36tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed2__all__36tasks,reference_agent,gpt-4o,2,topology_full,all,36,24,0.6667,85.7883,False,False,False,raw_records/topology_full/suites/reference_agent__gpt-4o__seed2__all__36tasks,paper_main_raw_api_evidence
reference_agent__gpt-4o__seed3__all__36tasks,reference_agent,gpt-4o,3,topology_full,all,36,29,0.8056,86.0344,False,False,False,raw_records/topology_full/suites/reference_agent__gpt-4o__seed3__all__36tasks,paper_main_raw_api_evidence
