suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__gpt-4.1__seed1__flyback__30tasks,direct_prompting,gpt-4.1,1,flyback,flyback,30,1,0.0333,78.649,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4.1__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed2__flyback__30tasks,direct_prompting,gpt-4.1,2,flyback,flyback,30,1,0.0333,81.7767,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4.1__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed3__flyback__30tasks,direct_prompting,gpt-4.1,3,flyback,flyback,30,1,0.0333,79.4373,False,False,False,raw_records/flyback/suites/direct_prompting__gpt-4.1__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed1__flyback__30tasks,reference_agent,gpt-4.1,1,flyback,flyback,30,11,0.3667,97.5967,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4.1__seed1__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed2__flyback__30tasks,reference_agent,gpt-4.1,2,flyback,flyback,30,10,0.3333,97.7387,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4.1__seed2__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed3__flyback__30tasks,reference_agent,gpt-4.1,3,flyback,flyback,30,11,0.3667,97.651,False,False,False,raw_records/flyback/suites/reference_agent__gpt-4.1__seed3__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed1__three_phase_inverter__12tasks,direct_prompting,gpt-4.1,1,three_phase_inverter,three_phase_inverter,12,1,0.0833,95.75,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__gpt-4.1__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed2__three_phase_inverter__12tasks,direct_prompting,gpt-4.1,2,three_phase_inverter,three_phase_inverter,12,1,0.0833,92.5233,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__gpt-4.1__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed3__three_phase_inverter__12tasks,direct_prompting,gpt-4.1,3,three_phase_inverter,three_phase_inverter,12,2,0.1667,96.08,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__gpt-4.1__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed1__three_phase_inverter__12tasks,reference_agent,gpt-4.1,1,three_phase_inverter,three_phase_inverter,12,12,1.0,100.0,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__gpt-4.1__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed2__three_phase_inverter__12tasks,reference_agent,gpt-4.1,2,three_phase_inverter,three_phase_inverter,12,11,0.9167,98.8333,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__gpt-4.1__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed3__three_phase_inverter__12tasks,reference_agent,gpt-4.1,3,three_phase_inverter,three_phase_inverter,12,12,1.0,100.0,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__gpt-4.1__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed1__all__36tasks,direct_prompting,gpt-4.1,1,topology_full,all,36,0,0.0,37.5542,False,False,False,raw_records/topology_full/suites/direct_prompting__gpt-4.1__seed1__all__36tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed2__all__36tasks,direct_prompting,gpt-4.1,2,topology_full,all,36,0,0.0,38.0578,False,False,False,raw_records/topology_full/suites/direct_prompting__gpt-4.1__seed2__all__36tasks,paper_main_raw_api_evidence
direct_prompting__gpt-4.1__seed3__all__36tasks,direct_prompting,gpt-4.1,3,topology_full,all,36,0,0.0,36.7236,False,False,False,raw_records/topology_full/suites/direct_prompting__gpt-4.1__seed3__all__36tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed1__all__36tasks,reference_agent,gpt-4.1,1,topology_full,all,36,32,0.8889,86.1361,False,False,False,raw_records/topology_full/suites/reference_agent__gpt-4.1__seed1__all__36tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed2__all__36tasks,reference_agent,gpt-4.1,2,topology_full,all,36,26,0.7222,85.7814,False,False,False,raw_records/topology_full/suites/reference_agent__gpt-4.1__seed2__all__36tasks,paper_main_raw_api_evidence
reference_agent__gpt-4.1__seed3__all__36tasks,reference_agent,gpt-4.1,3,topology_full,all,36,27,0.75,85.8953,False,False,False,raw_records/topology_full/suites/reference_agent__gpt-4.1__seed3__all__36tasks,paper_main_raw_api_evidence
