suite_id,baseline_name,model_name,seed,track,topology,num_tasks,successes,vtsr,mean_score,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,suite_dir,evidence_level
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed2__flyback__30tasks,direct_prompting,o4-mini,2,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o4-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed3__flyback__30tasks,direct_prompting,o4-mini,3,flyback,flyback,30,0,0.0,0.0,False,False,False,raw_records/flyback/suites/direct_prompting__o4-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed1__flyback__30tasks,reference_agent,o4-mini,1,flyback,flyback,30,9,0.3,97.5897,False,False,False,raw_records/flyback/suites/reference_agent__o4-mini__seed1__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed2__flyback__30tasks,reference_agent,o4-mini,2,flyback,flyback,30,13,0.4333,97.7827,False,False,False,raw_records/flyback/suites/reference_agent__o4-mini__seed2__flyback__30tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed3__flyback__30tasks,reference_agent,o4-mini,3,flyback,flyback,30,14,0.4667,97.6943,False,False,False,raw_records/flyback/suites/reference_agent__o4-mini__seed3__flyback__30tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__three_phase_inverter__12tasks,direct_prompting,o4-mini,1,three_phase_inverter,three_phase_inverter,12,0,0.0,0.0,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__o4-mini__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed2__three_phase_inverter__12tasks,direct_prompting,o4-mini,2,three_phase_inverter,three_phase_inverter,12,0,0.0,0.0,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__o4-mini__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed3__three_phase_inverter__12tasks,direct_prompting,o4-mini,3,three_phase_inverter,three_phase_inverter,12,0,0.0,0.0,False,False,False,raw_records/three_phase_inverter/suites/direct_prompting__o4-mini__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed1__three_phase_inverter__12tasks,reference_agent,o4-mini,1,three_phase_inverter,three_phase_inverter,12,11,0.9167,98.8333,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__o4-mini__seed1__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed2__three_phase_inverter__12tasks,reference_agent,o4-mini,2,three_phase_inverter,three_phase_inverter,12,12,1.0,100.0,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__o4-mini__seed2__three_phase_inverter__12tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed3__three_phase_inverter__12tasks,reference_agent,o4-mini,3,three_phase_inverter,three_phase_inverter,12,10,0.8333,97.6667,False,False,False,raw_records/three_phase_inverter/suites/reference_agent__o4-mini__seed3__three_phase_inverter__12tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__all__36tasks,direct_prompting,o4-mini,1,topology_full,all,36,0,0.0,0.0,False,False,False,raw_records/topology_full/suites/direct_prompting__o4-mini__seed1__all__36tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed2__all__36tasks,direct_prompting,o4-mini,2,topology_full,all,36,0,0.0,0.0,False,False,False,raw_records/topology_full/suites/direct_prompting__o4-mini__seed2__all__36tasks,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed3__all__36tasks,direct_prompting,o4-mini,3,topology_full,all,36,0,0.0,0.0,False,False,False,raw_records/topology_full/suites/direct_prompting__o4-mini__seed3__all__36tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed1__all__36tasks,reference_agent,o4-mini,1,topology_full,all,36,32,0.8889,86.0544,False,False,False,raw_records/topology_full/suites/reference_agent__o4-mini__seed1__all__36tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed2__all__36tasks,reference_agent,o4-mini,2,topology_full,all,36,27,0.75,85.7906,False,False,False,raw_records/topology_full/suites/reference_agent__o4-mini__seed2__all__36tasks,paper_main_raw_api_evidence
reference_agent__o4-mini__seed3__all__36tasks,reference_agent,o4-mini,3,topology_full,all,36,30,0.8333,86.0822,False,False,False,raw_records/topology_full/suites/reference_agent__o4-mini__seed3__all__36tasks,paper_main_raw_api_evidence
